line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct
N-L24,WRK,OHK,1000.0,254.55602683337682,25.45560268333768
N-L42,TAK,OTA,1000.0,248.9632641548868,24.89632641548868
N-L75,WPW,FHL,600.0,146.96147432631508,24.493579054385847
N-L63,PRM,BPE,1000.0,243.51709185396828,24.351709185396828
N-L117,PAO,WHU,600.0,142.8244347504621,23.80407245841035
S-L15,ROX,CYD,1000.0,235.95746169149987,23.595746169149987
N-L76,FHL,RDF,600.0,135.90987526101148,22.651645876835246
S-L38,ISL,BRY,1000.0,214.3551763401109,21.435517634011088
S-L12,BWK,HWB,600.0,123.88801846173727,20.64800307695621
S-L36,ASB,TWZ,1000.0,205.02500233592562,20.502500233592563
S-L62,ISL,KIK,1000.0,200.58343053459004,20.058343053459005
S-L60,ARG,BLN,600.0,120.32942993192555,20.054904988654258
N-L99,LFD,KIN,600.0,120.27727024029576,20.04621170671596
S-L22,BPD,STU,600.0,119.4449280961183,19.907488016019716
N-L92,TNG,OKN,600.0,118.33816773155151,19.723027955258583
N-L86,JRD,CST,600.0,114.81749760721853,19.136249601203087
N-L118,WHU,WKO,600.0,113.61786321626616,18.93631053604436
S-L13,CML,FKN,600.0,111.32455748613675,18.554092914356126
N-L93,OKN,NPK,600.0,110.31181989062257,18.385303315103762
S-L59,KIK,ARG,600.0,108.33062993192554,18.055104988654257
S-L23,STU,TIM,600.0,108.21269149722735,18.035448582871226
N-L94,NPK,TMN,600.0,107.73271032187316,17.955451720312194
N-L18,WRK,NAP,1000.0,178.59999999999997,17.859999999999996
S-L18,NSY,ISL,1000.0,176.56714208932812,17.65671420893281
S-L5,ROX,HWB,1000.0,172.4434395224982,17.24434395224982
N-L90,MKE,SFD,600.0,100.40494691425089,16.734157819041815
N-L85,SFD,JRD,600.0,99.75424109562051,16.625706849270085
N-L112,KPO,CBG,600.0,99.64806157340169,16.608010262233616
N-L3,MHO,LTN,1000.0,165.9613522800394,16.596135228003938
S-L14,GOR,ROX,600.0,94.06323906663164,15.677206511105274
S-L37,ASB,ISL,1000.0,154.4024071613009,15.440240716130091
N-L2,HAY,BPE,1000.0,151.68019817377493,15.168019817377493
N-L4,LTN,TWC,1000.0,145.5103274657606,14.551032746576062
N-L106,TGA,MTM,600.0,86.47030536044362,14.411717560073937
N-L33,EDG,TRK,1000.0,140.76309780251754,14.076309780251753
N-L59,GFD,HAY,600.0,82.09042218114602,13.681737030191005
S-L42,SBK,KAI,300.0,40.284451016635856,13.42815033887862
S-L45,HOR,COL,300.0,39.215945286506475,13.071981762168825
N-L58,MLG,HAY,600.0,77.30259519408503,12.883765865680838
S-L10,GOR,BAL,600.0,77.17395903956454,12.86232650659409
N-L52,ALB,SVL,1000.0,127.380453974122,12.7380453974122
N-L101,TRK,ROT,600.0,71.61560813308688,11.935934688847812
