line_id,bus0,bus1,s_nom_MVA,max_flow_MW,loading_pct
S-L55,ORO,MCH,600.0,19.873272295816534,3.3122120493027554
N-L83,SFD,KPA,600.0,19.87063863216266,3.311773105360443
S-L51,GYM,DOB,600.0,19.34149796672828,3.2235829944547136
N-L88,HUI,MNI,600.0,17.98276562520346,2.9971276042005766
N-L36,TRK,ATI,1000.0,27.780560959714816,2.7780560959714813
N-L53,HEN,BRB,1000.0,25.32559260628466,2.532559260628466
N-L84,KPA,OPK,600.0,10.173787800369684,1.6956313000616139
S-L53,RFN,ORO,600.0,7.808235732013159,1.3013726220021933
N-L110,KAW,MAT,600.0,6.161062597534595,1.026843766255766
N-L45,OTA,SWN,1000.0,7.370552310536044,0.7370552310536044
N-L34,KAW,MAT,1000.0,6.161062597534595,0.6161062597534596
S-L50,HKK,KUM,300.0,1.7944014787430684,0.5981338262476894
S-L24,BPT,BPD,600.0,0.6174284658040665,0.10290474430067775
