name,site,zone,island,volts,X,Y,long,lat
Matahina,MAT,CNI,NI,110.0,1934456,5774722,176.814617,-38.113429
Mataroa,MTR,LNI,NI,33.0,1831802,5606722,175.701967,-39.657898
Maungatapere,MPE,UNI,NI,110.0,1709127,6041290,174.207226,-35.766388
Maungaturoto,MTO,UNI,NI,33.0,1722370,6005583,174.359191,-36.086674
Mckee,MKE,LNI,NI,110.0,1715281,5672464,174.332969,-39.089336
Melling,MLG,LNI,NI,11.0,1760654,5437236,174.916003,-41.200315
Motunui,MNI,LNI,NI,11.0,1711561,5683109,174.288223,-38.993919
Mount Roskill,ROS,UNI,NI,22.0,1753729,5913294,174.725738,-36.913847
Mt Maunganui,MTM,CNI,NI,33.0,1883459,5825059,176.214122,-37.677902
Murchison,MCH,USI,SI,11.0,1544903,5373459,172.336909,-41.788811
Naseby,NSY,LSI,SI,33.0,1371044,5009246,170.09335,-45.033243
National Park,NPK,CNI,NI,33.0,1807260,5662951,175.398731,-39.157984
Nga Awa Purua,NAP,CNI,NI,220.0,1877217,5721300,176.18381,-38.613526
North Makarewa,NMA,LSI,SI,33.0,1242674,4861597,168.359526,-46.304941
Norwood,NWD,USI,SI,66.0,1536614,5171399,172.214554,-43.607688
Oamaru,OAM,LSI,SI,33.0,1436054,5007238,170.917357,-45.069329
Ohaaki,OKI,CNI,NI,220.0,1887000,5730455,176.292232,-38.528048
Ohakune,OKN,CNI,NI,11.0,1803835,5633184,175.368139,-39.426792
Ohakuri,OHK,CNI,NI,220.0,1869460,5744407,176.085947,-38.407976
Ohau A,OHA,LSI,SI,220.0,1362893,5094306,170.029338,-44.265857
Ohau B,OHB,LSI,SI,220.0,1369523,5090583,170.110656,-44.301462
Ohau C,OHC,LSI,SI,220.0,1375191,5086131,170.179706,-44.343269
Ongarue,ONG,CNI,NI,33.0,1789617,5709183,175.181877,-38.745696
Opunake,OPK,LNI,NI,33.0,1679853,5639246,173.927316,-39.392587
Orowaiti Tee,ORO,USI,SI,110.0,1484412,5374833,171.609319,-41.769929
Otahuhu,OTA,UNI,NI,22.0,1765841,5908477,174.862699,-36.955195
Otira,OTI,USI,SI,11.0,1482697,5256873,171.564769,-42.831722
Owhata,OWH,CNI,NI,11.0,1891300,5774545,176.323296,-38.129969
Pakuranga,PAK,UNI,NI,33.0,1769820,5911645,174.906657,-36.925943
Paraparaumu,PRM,LNI,NI,33.0,1769434,5467577,175.012309,-40.925379
Pauatahanui,PNI,LNI,NI,33.0,1761116,5447292,174.918868,-41.109689
Penrose,PEN,UNI,NI,22.0,1761868,5914165,174.816878,-36.904637
Piako,PAO,CNI,NI,110.0,1825912,5829853,175.56079,-37.650712
Poihipi,PPI,CNI,NI,220.0,1864742,5719912,176.041255,-38.629826
Rangipo,RPO,CNI,NI,220.0,1845190,5662389,175.837454,-39.153185
Redclyffe,RDF,CNI,NI,33.0,1928423,5615041,176.822085,-39.551481
Reefton,RFN,USI,SI,110.0,1504449,5340412,171.844762,-42.082556
Rotorua,ROT,CNI,NI,11.0,1882791,5772812,176.227053,-38.148268
Roxburgh,ROX,LSI,SI,110.0,1312313,4957441,169.319135,-45.477222
Silverdale,SVL,UNI,NI,33.0,1750524,5945559,174.683404,-36.623629
South Dunedin,SDN,LSI,SI,33.0,1406624,4915071,170.507523,-45.890739
Southbrook,SBK,USI,SI,66.0,1567467,5202755,172.598726,-43.327344
Southdown,SWN,UNI,NI,25.0,1762789,5911686,174.827745,-36.926815
