description,name,poc,site,X,Y,long,lat,volts,p_nom,carrier,zone,island,build_year,operator,peaker
Karapiro,Karapiro,KPO1101,KPO,1823029,5799542,175.537461493567,-37.924349394018,110,112.5,hydro,CNI,NI,1948,   Mighty    River    Power    Ltd   ,0
Linton,Tararua stage I,LTN0331,LTN,1823277,5523360,175.631393554087,-40.410452038357,33,36.0,wind,LNI,NI,1999,   TrustPower    Ltd   ,0
Matahina,Aniwhenua,MAT1101,MAT,1934456,5774722,176.814617066794,-38.113429289268,110,25.0,hydro,CNI,NI,1981,   Todd    Energy   ,0
Mangahao,Mangahao,MHO0331,MHO,1807281,5505363,175.448930173114,-40.576575256586,33,42.0,hydro,LNI,NI,1924,   King    Country    Energy    Ltd   ,0
Mckee,McKee,MKE1101,MKE,1715281,5672464,174.332969104936,-39.089336076641,110,100.0,gas,LNI,NI,2013,   Todd    Generation    Taranaki    Limited   ,1
Maraetai,Maraetai,MTI2201,MTI,1839802,5751482,175.744267461239,-38.352736363347,220,360.0,hydro,CNI,NI,1971,   Mighty    River    Power    Ltd   ,0
Nga Awa Purua,Nga Awa Purua,NAP2201,NAP,1876822,5721249,176.179300170578,-38.614108165015,220,144.0,geothermal,CNI,NI,2010,   Nga    Awa    Purua    JV   ,0
Ohakuri,Ohakuri,OHK2201,OHK,1869462,5744408,176.085969143807,-38.407966303515,220,109.0,hydro,CNI,NI,1962,   Mighty    River    Power    Ltd   ,0
Ohaaki,Ohaaki,OKI2201,OKI,1887000,5730455,176.292232241982,-38.528048097737,220,44.0,geothermal,CNI,NI,1992,   Contact    Energy    Ltd   ,0
Poihipi,Poihipi,PPI2201,PPI,1864742,5719918,176.041253165177,-38.629772226283,220,55.0,geothermal,CNI,NI,1997,   Contact    Energy    Ltd   ,0
Rotorua,Wheao and Flaxy,ROT0111,ROT,1882790,5772814,176.227040927696,-38.148250149956,11,24.0,hydro,CNI,NI,1982,   TrustPower    Ltd   ,0
Rangipo,Rangipo,RPO2201,RPO,1845189,5662388,175.837443122161,-39.153194090461,220,120.0,hydro,CNI,NI,1983,   Genesis    Power    Ltd   ,0
Stratford,Stratford Peaker 1,SFD0331,SFD,1713803,5645310,174.320457756666,-39.334150747444,33,106.0,gas,LNI,NI,2011,   Contact    Energy    Ltd   ,1
Tauhara,Tauhara,TAB0331,TAB,1874161,5715345,176.151111,-38.668056,33,174.0,gas,LNI,NI,2024,   Contact    Energy    Ltd   ,0
Tauranga,Kaimai 5,TGA0111,TGA,1875930,5819779,176.130869450065,-37.727715886518,11,42.0,hydro,CNI,NI,1972,   TrustPower    Ltd   ,0
Te Mihi,Te Mihi 1,THI2201,THI,1864970,5721335,176.043329412805,-38.616952280973,220,90.0,geothermal,CNI,NI,2014,   Contact    Energy    Ltd   ,0
Tokaanu,Tokaanu,TKU0331,TKU,1839960,5681601,175.770224473007,-38.981721323257,33,242.0,hydro,CNI,NI,1973,   Genesis    Power    Ltd   ,0
Tuia Forrest,Kaitawa,TUI1101,TUI,1960528,5696630,177.151398921204,-38.805354216673,110,36.0,hydro,CNI,NI,1948,   Genesis    Power    Ltd   ,0
NZ Windfarms,Tararua Wind Farm 3,TWC2201,TWC,1835550,5529228,175.773710004444,-40.354267210558,220,93.0,wind,LNI,NI,2007,   TrustPower    Ltd   ,0
Te Kowhai,Te Rapa,TWH0331,TWH,1789809,5821033,175.154138789807,-37.738327273869,33,48.0,gas,CNI,NI,1999,   Contact    Energy    Ltd   ,0
Woodville,Te Apiti,WDV0111,WDV,1842684,5533314,175.85606683278,-40.315456837217,11,90.0,wind,LNI,NI,2004,   Meridian    Energy    Ltd   ,0
Whirinaki,Whirinaki,WHI0111,WHI,1934795,5633613,176.886767473141,-39.3820619809,11,156.0,diesel,CNI,NI,2004,   Contact    Energy    Ltd   ,1
Wilton,Mill Creek,WIL0331,WIL,1747405,5431065,174.759556174567,-41.258396147901,33,60.0,wind,LNI,NI,2014,   Meridian    Energy    Ltd   ,0
Whakamaru,Mokai,WKM2201,WKM,1844481,5743971,175.800362745278,-38.419081880472,220,112.0,geothermal,CNI,NI,2000,   Tuaropaki    Power    Company   ,0
Waipapa,Waipapa,WPA2201,WPA,1834680,5758417,175.683407829782,-38.291660899856,220,54.0,hydro,CNI,NI,1961,   Mighty    River    Power    Ltd   ,0
Wairakei,Rotokawa,WRK0331,WRK,1870348,5720182,176.105463252824,-38.625705602471,33,36.0,geothermal,CNI,NI,1997,   Mighty    River    Power    Ltd   ,0
Waverley,Waipipi,WVY0111,WVY,1740109,5598256,174.635502581871,-39.75409738031,11,133.0,wind,LNI,NI,2020,   Genesis    Power    Ltd   ,0
Westwind,West Wind 1,WWD1102,WWD,1739027,5427096,174.660496103937,-41.295617834785,110,80.0,wind,LNI,NI,2009,   Meridian    Energy    Ltd   ,0
